SNO,Input Data,Target Data,Predicted Data
3818,paithon,பைதான்,பைதான்
3819,pulavargalai,புலவர்களை,புலவர்ளகை
3820,cherbiyaa,செர்பியா,செர்பியா
3821,pirathaanamaaka,பிரதானமாக,பிரதானமக
3822,thambathigal,தம்பதிகள்,தம்பதிகள்
3823,nadhiyil,நதியில்,நதியில்
3824,seiyyappattanar,செய்யப்பட்டனர்,செய்யப்பட்டனர்
3825,malargalaith,மலர்களைத்,மலர்களைத்
3826,ashoka,அசோகா,அசோகா
3827,seibavarkal,செய்பவர்கள்,ெசய்பவர்கள்
3828,siilica,சிலிக்கா,சிலிக்ாக
3829,jaen,ஜென்,ஜென்்
3830,padipaith,படிப்பைத்,படிப்பைத்
3831,muththai,முத்தை,முத்தை
3832,inththiyaavil,இந்தியாவில்,இந்தியாவி்ல
3833,seluththinar,செலுத்தினர்,செலுத்தினர்
3834,sasanangal,சாசனங்கள்,சாசனங்்கள்
3835,tevid,டேவிட்,டவேிட்
3836,tharunankalil,தருணங்களில்,தருணங்களலி்
3837,thamizhakaththay,தமிழகத்தை,தமிழகதத்தை
3838,payirkalin,பயிர்களின்,பயிர்களளின்
3839,amarikaa,அமெரிக்கா,அமெரிக்கா
3840,zait,ஜெட்,ஜெட்
3841,parimaattramum,பரிமாற்றமும்,பரிமாற்றமும்
3842,visaarikka,வழக்கு,வழக்கு
3843,paariyalavilaana,பாரியளவிலான,பாரியளவிலான
3844,vaenae,வேனே,வேனே
3845,jaed,ஜெட்,ஜெட்
3846,guruviyin,குருவியின்,குருவியின்
3847,amerikaa,அமெரிக்கா,அமெரகி்கா
3848,nuzhaindhadhu,நுழைந்தது,நுழைந்தது
3849,vazhinadaththi,வழிநடத்தி,வழிநடதத்ி
3850,injchi,இஞ்சி,இஞ்ிச
3851,adaithal,அடைதல்,அைதல்
3852,pooran,போரான்,பபோரான்
3853,thaangak,தாங்கக்,தாங்கக்
3854,saritha,சரிதா,சரிதா
3855,valangkuvathai,வழங்குவதை,வழஙங்குவதை
3856,mugaththuvaaram,முகத்துவாரம்,முகத்துவாரம்்
3857,amchankalum,அம்சங்களும்,அம்சங்ளகும்
3858,selutthinar,செலுத்தினர்,செலுத்தனிர்
3859,thokaiye,தொகையே,தொகையே
3860,qyuba,கியூபா,கிியூபா
3861,boaut,பூட்,பூடட்
3862,paula,பவுலா,பவுலா
3863,makilchchiyaana,மகிழ்ச்சியான,கிழ்ச்சியான
3864,quuantuum,குவாண்டம்,ுவாண்டம்
3865,ivaigalae,இவைகளே,இவைகளே
3866,aasram,ஆசிரமம்,ஆசிரமம்
3867,agamathaabaath,அகமதாபாத்,அகமாதபாத்
3868,golden,கோல்டன்,கோல்டன்
3869,adigalayum,அடிகளையும்,அடிகளையும்
3870,kattamaikkappatta,கட்டமைக்கப்பட்ட,கட்டமைக்கப்பட்்ட
3871,hanggaeriyil,ஹங்கேரியில்,ஹங்கேரியில்
3872,saarathigal,சாரதிகள்,சாரதிகள்
3873,thamilagatthu,தமிழகத்து,தமிழகத்து
3874,thamizhagap,தமிழகப்,தமிகழப்
3875,peruvatharkaagavum,பெறுவதற்காகவும்,பெறுவதற்காகவும்
3876,adhaepoal,அதேபோல்,அதேபோல்
3877,sozharkal,சோழர்கள்,சோழர்கள்
3878,masuuthikku,மசூதிக்கு,சமூதிக்கு
3879,seyalpadaatha,செயல்படாத,செயல்படாத
3880,polavo,போலவோ,போலவோ
3881,kuul,கூல்,கூ்
3882,kadavule,கடவுளே,கடவுளே
3883,kidaikkindra,கிடைக்கின்ற,கிடைக்கின்ற
3884,kurukkum,குறுக்கும்,குறுக்கும்
3885,rehhman,ரஹ்மான்,ரஹ்மான்
3886,peyaroo,பெயரோ,பெயரோ
3887,aelakiri,ஏலகிரி,ஏலகிரி
3888,puunaa,பூனா,பூனா
3889,amaiththu,அமைத்து,அமைத்ுத
3890,ivir,எவர்,எவர்
3891,sooraavalikal,சூறாவளிகள்,சூறாவளிகள்
3892,kooppaikalai,கோப்பைகளை,கோப்பைகளை
3893,tunn,டூன்,டூன்
3894,andri,அன்றி,அன்றறி
3895,sivanthu,சிவந்து,சிவந்ுத
3896,cool,கூல்,கூல்
3897,puunagariyil,பூநகரியில்,பூநகரயிில்
3898,zenner,ஜென்னர்,ஜெ்னர்
3899,ameriqa,அமெரிக்கா,அமெரிக்கா
3900,kaalakattangalil,காலகட்டங்களில்,காலகட்டங்களிலல்
3901,amarica,அமெரிக்கா,அமெரிக்கா
3902,pradhaesa,மத்தியப்,மத்தியப்
3903,dhroanar,துரோணர்,துரோணர்
3904,paaii,பை,பை
3905,udaindhadhu,உடைந்தது,உைடந்தது
3906,poonagariyil,பூநகரியில்,பூநகரிியல்
3907,pravaesa,பிரவேச,பிரவேச
3908,karnannin,கர்ணனின்,கர்ணனின்
3909,gowrilla,கொரில்லா,கொரில்லா
3910,vaangavum,வாங்கவும்,வாங்கவும்
3911,sothai,சொத்தை,ொசத்தை
3912,siiddharth,சித்தார்த்,சித்தார்த்
3913,nigalvugalaip,நிகழ்வுகளைப்,நிகழ்வுகளைப்
3914,poattiyilum,போட்டியிலும்,படோ்டியிலும்
3915,seiyappattavai,செய்யப்பட்டவை,செய்யப்பட்டவை
3916,panbaadum,பண்பாடும்,பண்பாடும்்
3917,paalum,பாலும்,பாுலம்
3918,oppandhak,ஒப்பந்தக்,ஒப்நப்தக்
3919,sengai,செங்கை,செ்கை
3920,watham,வதம்,வதம்
3921,koottamum,கூட்டமும்,ூட்டமும்
3922,pukazhpettravai,புகழ்பெற்றவை,புகழ்பெற்றவை
3923,moondrilirundhu,மூன்றிலிருந்து,மூன்றிலிருந்ுத
3924,ezhuthiyullanar,எழுதியுள்ளனர்,எழுியுள்ளனர்
3925,sabari,சபரி,சரி
3926,mahaiana,மகாயான,மகாயான
3927,chithiraip,சித்திரைப்,சசித்திரைப்
3928,avaludan,அவளுடன்,அவளுுடன்
3929,thiraikku,திரைக்கு,திரகை்கு
3930,kaarthikeyan,கார்த்திகேயன்,கார்த்திகேயன்
3931,thadangalil,தடங்களில்,தடங்களில்
3932,kanak,கணக்,கணக்
3933,eeya,ஈய,ஈ
3934,sutrtrivara,சுற்றிவர,சுற்றிவர
3935,mohammedhu,முகம்மது,முகம்முத
3936,thiruvaadaanai,திருவாடானை,திருாடானை
3937,solarkal,சோழர்கள்,சோழர்ளக்
3938,kamittiyil,கமிட்டியில்,கமிட்டியில்
3939,eevu,ஈவு,ஈவுு
3940,malargalaiyum,மலர்களையும்,மலர்களையும்
3941,aanthai,ஆந்தை,ஆந்தை
3942,suurver,சர்வர்,சர்வர்
3943,microosooftt,மைக்ரோசாப்ட்,மைக்ரோசாபட்்
3944,sidharth,சித்தார்த்,சித்தார்த்
3945,padikku,படிக்கு,படி்கு
3946,shastri,சாஸ்திரி,சாஸ்திரி
3947,thokaiku,தொகைக்கு,தொகைக்ுக
3948,kuwaa,குவா,குவா
3949,aayuvugalin,ஆய்வுகளின்,ஆ்வுகளின்
3950,tara,தாரா,தாரா
3951,villiams,வில்லியம்ஸ்,வில்லியம்ஸ்
3952,iuri,யூரி,யூரி
3953,yerpadavillai,ஏற்படவில்லை,ஏ்படவில்லை
3954,columbil,கொழும்பில்,கொழும்பில்
3955,azhiththaan,அழித்தான்,ழஅித்தான்
3956,kayitrin,கயிற்றின்,கிற்றின்
3957,maenilai,மேனிலை,மேனிலை
3958,vaendum,கிடைக்க,கிடை்க
3959,parppavar,வேலைப்,வேலைப்
3960,vater,வாட்டர்,வாட்ட்ர
3961,nathikalum,நதிகளும்,தநிகளும்
3962,kattumaanangal,கட்டுமானங்கள்,கட்டுமானங்கள
3963,valangappaduvathu,வழங்கப்படுவது,வழங்கப்படுவது
3964,panigalukku,பணிகளுக்கு,பணிகளுக்கு
3965,pukazhpetraar,புகழ்பெற்றார்,புகழ்பெற்றார்
3966,pakuppaaivu,பகுப்பாய்வு,பகுப்பாய்வுு
3967,nikazhvukalaal,நிகழ்வுகளால்,நிகழ்வுகளால்
3968,antriravu,அன்றிரவு,அன்றிரவு
3969,porulaagavum,பொருளாகவும்,பொருளாகவும்
3970,mukkthi,முக்தி,மகு்தி
3971,kandarintha,கண்டறிந்த,கண்டறிந்த
3972,kurudhik,குருதிக்,ுருதிக்
3973,enchin,எஞ்சின்,எஞ்சின்
3974,varudi,வருடி,வருடிி
3975,yerpaduvatharku,ஏற்படுவதற்கு,ஏற்படுவதற்கு
3976,thanthiranggalil,தந்திரங்களில்,தந்திரங்களில்
3977,vangkadhaesam,வங்கதேசம்,வஙங்கதேசம்
3978,nanmaigalaip,நன்மைகளைப்,நன்மைகளைப்
3979,galileo,கலீலியோ,கலலீலியோ
3980,kidakkirathu,கிடக்கிறது,கிடக்கிறது
3981,maruththuvamanaiyai,மருத்துவமனையை,மருத்துவமனையை
3982,mission,மிஷன்,மிஷன்
3983,yaaraenum,யாரேனும்,யாரேனும்
3984,tamilakatthai,தமிழகத்தை,தமிழகத்தை
3985,pozhudupoakku,பொழுதுபோக்கு,பொழுதுபோக்ு
3986,kambaramayanaththil,கம்பராமாயணத்தில்,கம்பராமாயணத்தில்
3987,ippadai,இப்படை,இப்பைட
3988,adhaavadhu,அதாவது,அதாவு
3989,kooththu,கூத்து,கூத்து
3990,irumpup,இரும்புப்,இரும்ுபப்
3991,marunthin,மருந்தின்,மருந்தின்
3992,miqii,மிக்கி,மிக்கி
3993,payirgalin,பயிர்களின்,பயிர்களின்
3994,noolagaththil,நூலகத்தில்,நூலகத்தில
3995,vaangappattu,வாங்கப்பட்டு,வாங்கப்படட்ு
3996,reethiyilum,ரீதியிலும்,ரீதிியிலும்
3997,kovai,கோவை,கோவை
3998,tharavillai,தரவில்லை,தரவவில்லை
3999,chankangalai,சங்கங்களை,சங்கங்களை
4000,chankankal,சங்கங்கள்,சங்கங்கள்
4001,thambadhiyinar,தம்பதியினர்,தம்பதியினர்
4002,viththiyaasam,வித்தியாசம்,வித்தியாசம்
4003,kizhar,கிழார்,கழார்
4004,lakchhami,லட்சுமி,டல்சுமி
4005,kuliththalai,குளித்தலை,குளித்தலை
4006,karnnaa,கர்ணா,கர்ண
4007,peyaro,பெயரோ,பெயரோ
4008,thamizhakaththilirundhu,தமிழகத்திலிருந்து,தமிழகத்திலிருந்து
4009,moraaccoa,மொராக்கோ,மொராக்கோ
4010,seerudaikal,சீருடைகள்,சீருடைகள்
4011,makilchchiyil,மகிழ்ச்சியில்,மகிழ்ச்சியில்
4012,europe,அய்ரோப்பிய,அய்ரோப்பிய
4013,puththaandup,புத்தாண்டுப்,புத்தாண்டுப்
4014,pandavargalil,பாண்டவர்களில்,பாண்டவர்களில்
4015,koodaathu,கூடாது,கடாது
4016,muyanraar,முயன்றார்,முயன்றார்
4017,makaadhaevi,மகாதேவி,மகாதேவி
4018,colt,கோல்ட்,கோல்ட்
4019,poriththu,பொரித்து,பொிரத்து
4020,kanitham,கணிதம்,கணிதம்
4021,ullatakka,உள்ளடக்க,உள்ளடக்க
4022,chollutan,சொல்லுடன்,சொல்லுனட்
4023,poola,பவுலா,பவுலா
4024,payanpaduthuvathai,பயன்படுத்துவதை,பயன்படுத்துவதை
4025,vaikundar,வைகுண்டர்,ைவகுண்டர்
4026,poattiyaana,போட்டியான,பபோட்டியான
4027,oodagap,ஊடகப்,ஊடகப்
4028,thaervin,தேர்வின்,தேர்வின்
4029,tharavarisaiyil,தரவரிசையில்,தரவரிசையில்
4030,suba,சுபா,சுபா
4031,sattrup,சற்றுப்,சற்றுப்
4032,pannirendaam,பன்னிரண்டாம்,பபன்னிரண்டாம்
4033,neervala,நீர்வள,நீர்வள
4034,koabi,கோபி,கோபி
4035,karanamaakavum,காரணமாகவும்,காரணமாகவும்
4036,seibavargalae,செய்பவர்களே,செய்பவர்களேே
4037,kaettathu,கேட்டது,ககேட்டது
4038,indiavirkul,இந்தியாவிற்குள்,இந்தியாவற்குள்
4039,neeroattankal,நீரோட்டங்கள்,நீரோடடங்கள்
4040,appakuthi,அப்பகுதி,அஅப்பகுதி
4041,sampirathaya,சம்பிரதாய,சம்பரதாய
4042,kudayyil,குடையில்,குடையில்
4043,kirubhai,கிருபை,கிருபை
4044,siirutai,சீருடை,சீருடை
4045,vaakanam,வாகனம்,வாகனம்
4046,kothikum,கொதிக்கும்,கொதி்ககும்
4047,niiro,நீரோ,நீரோ
4048,cuuba,கியூபா,கியூபா
4049,paazh,பாழ்,பாழ்
4050,aayvugalukku,ஆய்வுகளுக்கு,ஆய்்வுகளுக்கு
4051,piramma,பிரம்ம,பிரம்மம
4052,bayilvaan,பயில்வான்,பயில்வான
4053,thaaraavin,தாராவின்,தாராவின்
4054,villaigal,வில்லைகள்,வில்லகைள்
4055,thalavaatankal,தளவாடங்கள்,தளவாடங்கள்
4056,aanmaavukku,ஆன்மாவுக்கு,ஆன்மாுவக்கு
4057,koopi,கோபி,கோபி
4058,seiyappattaar,செய்யப்பட்டார்,செய்யப்பட்டார்
4059,keelirangki,கீழிறங்கி,ககீழிறங்கி
4060,puump,பம்ப்,பம்பப்
4061,idaodhukkeedu,இடஒதுக்கீடு,இஒதுக்கீடு
4062,majha,மகா,மகா
4063,mahayana,மகாயான,மகாயான
4064,koappaiyin,கோப்பையின்,கோப்பையின்
4065,kaimari,கைமாறி,கைமாறி
4066,thodumpothu,தொடும்போது,தொடும்போது
4067,uyirvaazhum,உயிர்வாழும்,உிர்வாழும்
4068,pidiththu,அடம்,டஅம்
4069,aeathimuka,அஇஅதிமுக,அஇஅதமிுக
4070,nigazhvaiyum,நிகழ்வையும்,நிகழ்வையும்
4071,evaikalaith,இவைகளைத்,இவைகளத்
4072,yoagaththin,யோகத்தின்,யோகத்தின்
4073,vairamuthu,கபிலன்,கபிிலன்
4074,vaeraaka,வேறாக,வேேறாக
4075,therkaaka,தெற்காக,தெற்காக
4076,sangaththil,சங்கத்தில்,சங்கத்தில்
4077,thiyakarajar,தியாகராஜர்,தியாககராஜர்
4078,sangamikkum,சங்கமிக்கும்,சங்கமிக்கும்்
4079,laththeen,லத்தீன்,லத்தீன்
4080,pizhaiyaaga,பிழையாக,பிழையாாக
4081,vaagananggalukku,வாகனங்களுக்கு,வாகனங்களுக்கு
4082,seiyappattan,செய்யப்பட்டான்,செய்யப்பட்டான்
4083,myyamaakavum,மையமாகவும்,மையமாகவும்
4084,alakil,அலகில்,அலகில்
4085,surrivara,சுற்றிவர,சுற்றிவர
4086,sasanankal,சாசனங்கள்,சாசசனங்கள்
4087,vazhikaattum,வழிகாட்டும்,வழிகாட்டும்
4088,bangqoq,பாங்காக்,பாங்காக்
4089,graand,கிராண்ட்,கிராண்ட்
4090,gould,கோல்ட்,கோல்ட்
4091,valakkugalaiyum,வழக்குகளையும்,வழக்குகளையும்
4092,vaibavam,வைபவம்,வைபவம்
4093,pudhumaigalai,புதுமைகளை,புதுமைகளை
4094,kadaisiyaga,கடைசியாக,கடைசியாக
4095,sarwar,சர்வர்,சசர்வர்
4096,vaakanamaaka,வாகனமாக,வாகனமாக
4097,vitrtral,விற்றல்,விற்றல்
4098,seyalpadumpothu,செயல்படும்போது,செயல்படும்போு
4099,evaikalaal,இவைகளால்,இவைகளால்
4100,panrikalai,பன்றிகளை,பன்றிகளை
4101,cheyn,செயின்,சயின்
4102,baakyaraaj,பாக்யராஜ்,பாக்யராஜ்
4103,sreenivaasan,ஸ்ரீநிவாசன்,ஸ்ீநிவாசன்
4104,vadikkappatta,வடிக்கப்பட்ட,வடி்ககப்பட்ட
4105,immakkal,இம்மக்கள்,இம்மக்கள்
4106,aththiyaayangalil,அத்தியாயங்களில்,அத்திாயயங்களில்
4107,uudakaththai,ஊடகத்தை,ஊடகத்ைத
4108,athirvukalai,அதிர்வுகளை,அதிர்வுகளை
4109,giitaa,கீதை,கீை
4110,padaitthu,படைத்து,படைத்ுத
4111,panguthararkalaka,பங்குதாரர்களாக,பங்ககுதாரர்களாக
4112,kanavanathu,கணவனது,கணவனதுு
4113,naatraththai,நாற்றத்தை,நாற்றத்தை
4114,soozhappattathu,சூழப்பட்டது,சூழப்பட்டது
4115,aayvuk,ஆய்வுக்,ஆய்்வுக்
4116,pasukkazhin,பசுக்களின்,பசுக்களின்
4117,koorappattirukkum,கூறப்பட்டிருக்கும்,கூறப்பட்டிருக்ககும்
4118,kidaikkakk,கிடைக்கக்,கிடைக்க்
4119,udalilum,உடலிலும்,உடிலலும்
4120,malarkalaiyum,மலர்களையும்,மலர்களைையும்
4121,thalaimaiyetraar,தலைமையேற்றார்,தலைமையேற்றார்
4122,thaniththaniyaagap,தனித்தனியாகப்,தனித்தனயிாகப்
4123,vaasippathu,வாசிப்பது,வாசிப்பது
4124,uudakap,ஊடகப்,ஊடககப்
4125,piraemaa,பிரேமா,பிரேமாா
4126,qameo,கேமியோ,கேியோ
4127,nirupar,நிருபர்,நிருபர்
4128,sandhyaa,சந்தியா,சந்தியா
4129,idhanaalthaan,இதனால்தான்,இதனாலல்தான்
4130,noayaaka,புற்று,புற்றுு
4131,tholainokkiyai,தொலைநோக்கியை,தொலைநோக்கிியை
4132,thankiyullathu,தங்கியுள்ளது,தங்கியுள்ளது
4133,cakkaratthaip,சக்கரத்தைப்,சககரத்தைப்
4134,nuzhinththathaal,நுழைந்ததால்,நுழைந்ததலா்
4135,gobii,கோபி,கபோி
4136,pauulaa,பவுலா,பவுலா
4137,padidhal,படிதல்,படித்
4138,iynid,எனிட்,எனிடட்
4139,padappidippugal,படப்பிடிப்புகள்,படப்பிடிப்புகள்
4140,kattumaanam,கட்டுமானம்,க்டுமானம்
4141,aalaiyam,ஆலையம்,ஆலையம்
4142,viththiyaasap,வித்தியாசப்,வித்தியாசப்
4143,makaesh,மகேஷ்,மகேஷ்
4144,palani,பழநி,பழநி
4145,thanimankalin,தனிமங்களின்,தனிமங்களின்
4146,paakupaadum,பாகுபாடும்,பாகுபாடமு்
4147,aalayamum,ஆலயமும்,ஆலயமும்
4148,kidantha,கிடந்த,கிட்நத
4149,sathya,சத்யா,சத்யா
4150,aatrtralaal,ஆற்றலால்,ஆற்றலா்ல
4151,tharunamaaga,தருணமாக,தருணமக
4152,kootpaatum,கோட்பாடும்,கோோட்பாடும்
4153,kalloorikalilum,கல்லூரிகளிலும்,கல்லலூரிகளிலும்
4154,latchumiyin,லட்சுமியின்,லட்சமுியின்
4155,koottatthaith,கூட்டத்தைத்,கூட்டததைத்
4156,chen,செயின்,செயின்
4157,pirathaanap,பிரதானப்,பிரதான்ப
4158,koottaththaith,கூட்டத்தைத்,கூட்டத்தைத்
4159,thamizhakatthaich,தமிழகத்தைச்,தமழிகத்தைச்
4160,inniruvanam,இந்நிறுவனம்,இந்நறுவனம்
4161,rishi,ரிஷி,ரிஷஷி
4162,shreenivaachan,ஸ்ரீநிவாசன்,ஸ்ரரீநிவாசன்
4163,amaerikka,அமெரிக்கா,அமெரிக்கா
4164,vaelunaachchiyaar,வேலுநாச்சியார்,வேலுநாச்சியார்
4165,veppamaaka,வெப்பமாக,வெப்பமாக
4166,nava,நவ,வந
4167,appakuthikalil,அப்பகுதிகளில்,அப்்பகுதிகளில்
4168,muyantranar,முயன்றனர்,மயன்றனர்
4169,padimaththin,படிமத்தின்,படிமத்தின்
4170,thamizhakaththukku,தமிழகத்துக்கு,தமிழக்ததுக்கு
4171,neerittaal,நேரிட்டால்,நேரிட்டால்
4172,suthamaana,சுத்தமான,சுத்தமான
4173,jeevathma,ஜீவாத்மா,ீவாத்மா
4174,munthik,முந்தி,முநந்தி
4175,cakkarankalai,சக்கரங்களை,சக்கரங்களை
4176,gouud,குட்,குட்
4177,magaadevi,மகாதேவி,மகாதேவி
4178,thiyaagaraaja,தியாகராஜ,தயாகராஜ
4179,sarathikal,சாரதிகள்,ாரதிகள்
4180,japaan,ஜப்பான்,ஜபபான்
4181,sqoch,ஸ்காட்ச்,ஸ்காட்ச்
4182,seyint,செயிண்ட்,செயிண்்ட்
4183,kutay,குடை,குடை
4184,kadambur,கடம்பூர்,கடமம்பூர்
4185,padanggaludan,படங்களுடன்,படங்களுடன
4186,peepe,பீபி,பீப
4187,yedhirkkavum,எதிர்க்கவும்,எதிர்க்கவும்
4188,wells,வெல்ஷ்,வெலஷ்்
4189,duun,டூன்,டூன்
4190,parisoathiththu,பரிசோதித்து,பரிசோதித்து
4191,innichai,இன்னிசை,இன்னிசை
4192,koodathu,கூடாது,கூடாது
4193,nirvaakamum,நிர்வாகமும்,நிிர்வாகமும்
4194,sangamaaha,சங்கமாக,சஙங்கமாக
4195,navashakthi,நவசக்தி,நவசசக்தி
4196,priththaar,பிரித்தார்,பிரித்தார்
4197,aariyar,ஆரியர்,ஆரிர்
4198,sangankalai,சங்கங்களை,சங்கங்களை
4199,choathikkum,சோதிக்கும்,சோதிக்குும்
4200,oraandil,ஓராண்டில்,ஓராண்்டில்
4201,yunescoovin,யுனெஸ்கோவின்,யுனெஸ்கோவின்
4202,satre,சற்றே,சற்றே
4203,paeraasiriyarum,பேராசிரியரும்,பேராசிரியரும்
4204,evarumae,எவருமே,வஎருமே
4205,inchi,இஞ்சி,இஞஞ்சி
4206,charavarththi,சக்ரவர்த்தி,சக்ரரவ்த்தி
4207,vaiththiyanaathan,வைத்தியநாதன்,வைத்தியநநாதன்
4208,adiitii,அதிதி,அதிதி
4209,cubavil,கியூபாவில்,கியூபவாில்
4210,dheepan,தீபன்,தீனப்
4211,nigalthagavu,நிகழ்தகவு,நிகழ்தவகு
4212,kavalaiyae,கவலையே,கவலலையே
4213,tamizhaiyum,தமிழையும்,தமிழையும்
4214,thaayagamaana,தாயகமான,தாயகமான
4215,eerppup,ஈர்ப்புப்,ஈர்ப்புப்
4216,kandarindha,கண்டறிந்த,கண்டிந்த
4217,sarvar,சர்வர்,சர்வர்
4218,vivariththullaar,விவரித்துள்ளார்,விவரித்துள்ளார
4219,chengai,செங்கை,செங்கை
4220,nalloar,நல்லோர்,நல்லோர்
4221,rehman,ரஹ்மான்,ரஹ்மான்
4222,thuravigalin,துறவிகளின்,துறவிகளின்
4223,uruvaakkamum,உருவாக்கமும்,உருவாக்கமும்
4224,cankankal,சங்கங்கள்,சங்ககங்கள்
4225,inkaa,இன்கா,இன்கா
4226,ccameeo,கேமியோ,கேமியோ
4227,paththaandukalaaka,பத்தாண்டுகளாக,பத்தாண்டுகளாக
4228,vayathin,வயதின்,வயதின்
4229,seiyyappattavudan,செய்யப்பட்டவுடன்,செய்யப்பட்டவுடன்
4230,kavalaiye,கவலையே,வகலையே
4231,kampan,கம்பன்,கம்பன்
4232,liverpool,லிவர்பூல்,லிவர்பூல்
4233,makizhchchiyaaka,மகிழ்ச்சியாக,கிழ்ச்சியாக
4234,ther,தேர்,தேேர்
4235,mandal,மண்டல்,மண்டல்
4236,aatti,ஆட்டி,ஆட்டி
4237,viil,வீல்,வல்
4238,erpadaamal,ஏற்படாமல்,ஏற்படாமல்
4239,vilaiyaadudhal,விளையாடுதல்,விளையாடுதல்
4240,veelchchiyilirunththu,வீழ்ச்சியிலிருந்து,வீழ்ச்சியயிலிருந்து
4241,pakadai,பகடை,பகடை
4242,oththuzhaiyaamai,ஒத்துழையாமை,ஒத்துழையாாமை
4243,sangamoom,சங்கமும்,சங்கமும்
4244,thotarpukalil,தொடர்புகளில்,தொடர்புகளில்
4245,silicca,சிலிக்கா,சசிலிக்கா
4246,mudivil,முடிவில்,முடிவில்
4247,thamilaiyum,தமிழையும்,தமிழையும்
4248,kavalaiyee,கவலையே,கவலையே
4249,saigaikal,சைகைகள்,சைககைள்
4250,touun,டூன்,டூன்
4251,azhaginai,அழகினை,அழகினை
4252,kayitrtrin,கயிற்றின்,கயிற்ிறன்
4253,sent,சென்ட்,செனன்ட்
4254,kabila,கபில,கபில
4255,veliyidappattana,வெளியிடப்பட்டன,வெளியிடப்பட்டன
4256,simmon,சிம்மன்,சிம்மன்
4257,irukkavillai,இருக்கவில்லை,இருக்கவில்லை
4258,collii,கோலி,கோலி
4259,gokila,கோகிலா,கோோகிலா
4260,toobaggoo,டொபாகோ,டொபாகோ
4261,kambalattu,கம்பளத்து,கம்பளத்து
4262,poruppaettra,பொறுப்பேற்ற,பொறுப்பேற்ற
4263,varaaka,வராக,வராக
4264,murthigal,மூர்த்திகள்,மூர்த்ிகள்
4265,servergal,சர்வர்கள்,சர்வர்கள்
4266,oodagaththai,ஊடகத்தை,ஊடகதத்ை
4267,cuurrender,சரணடைய,சரணணடைய
4268,vaaganangkalaiyum,வாகனங்களையும்,வாகன்களையும்
4269,daai,டை,ைட
4270,pattathu,பட்டது,பட்டுத
4271,plackperry,பிளாக்பெர்ரி,பிளாக்பெர்ரி
4272,padimatthin,படிமத்தின்,டபிமத்தின்
4273,thodarpudan,தொடர்புடன்,தொடர்புடன்
4274,yaelakiri,ஏலகிரி,ஏகலிரி
4275,rome,ரோம்,ரோம்
4276,vetridaththil,வெற்றிடத்தில்,வெற்றிடத்தில்
4277,yavvitha,எவ்வித,எவ்வித
4278,munnuthaaranamaaka,முன்னுதாரணமாக,மு்னனுதாரணமாக
4279,chiirutai,சீருடை,சீருடை
4280,vae,வேய்,வேய்
4281,neereatram,நீரேற்றம்,நீரேற்றம்
4282,loakiyaa,லோகியா,லோகியா
4283,eattrukkondu,ஏற்றுக்கொண்டு,ஏற்றுக்கொண்டு
4284,ipparavaigal,இப்பறவைகள்,இப்பறவைகள்
4285,maethyoo,மேத்யூ,மதே்யூ
4286,cype,சைப்,சைப்
4287,sutthappadutthum,சுத்தப்படுத்தும்,சுத்தப்டபுத்தும்
4288,tharunankkalil,தருணங்களில்,தரணங்களில்
4289,aerpaduvatharku,ஏற்படுவதற்கு,ஏற்பபடுவதற்கு
4290,udalnalam,உடல்நலம்,உடலநலம்
4291,unthum,உந்தும்,உ்தும்
4292,kaelu,கேளு,கேளுு
4293,thalaimaiyaettraar,தலைமையேற்றார்,தலைமையேற்றா்
4294,vadikkappattathu,வடிக்கப்பட்ட,வடிக்கப்படட்
4295,valimaiyaana,வலிமையான,விலமையான
4296,oppanthaththil,ஒப்பந்தத்தில்,ஒப்பபந்தத்தில்
4297,appadaththai,அப்படத்தை,அப்பட்ததை
4298,saranadainthu,சரணடைந்து,சரணடடைந்து
4299,undaanathu,உண்டானது,உண்டானது
4300,pethonn,பைதான்,பைதான
4301,patuthiya,படுத்திய,படது்திய
4302,hpaes,ஃபேஸ்,ஃபே்ஸ
4303,muthaliyavargal,முதலியவர்கள்,முதலியவர்க்
4304,ulakinai,உலகினை,உலகினை
4305,nilainiruththa,நிலைநிறுத்த,ிநலைநிறுத்த
4306,maathulai,மாதுளை,மாதுளை
4307,siridhu,சிறிது,சசிறிது
4308,under,அண்டர்,அண்டர்
4309,tae,டை,ட
4310,karmam,கர்மம்,ர்மம்
4311,uraiyaadalgalil,உரையாடல்களில்,உரையாடல்கில்
4312,yekspoa,எக்ஸ்போ,எஎக்ஸ்போ
4313,nawa,நவ,நவ
4314,mookkuk,மூக்குக்,மூக்குக்
4315,kadaikkaadhadhaal,கிடைக்காததால்,கிடைக்காததால்்
4316,uyil,உயில்,உயலி்
4317,veppaththaiyum,வெப்பத்தையும்,வெப்பத்தையும்
4318,aneeta,அனிதா,அனிதா
4319,thamizhaiyum,தமிழையும்,தமிழைுயம்
4320,thayaaraanathu,தயாரானது,தயாரானது
4321,mukthi,முக்தி,முுக்தி
4322,tamilagatthukku,தமிழகத்துக்கு,தமிழகத்துக்கு
4323,valinadaththum,வழிநடத்தும்,வழிநடத்தும்
4324,kuvindhathu,குவிந்தது,குவிந்தது
4325,satii,சதி,தி
4326,kollatha,கொள்ளாத,கொள்ளாத
4327,ketadhu,கேட்டது,கேட்டது
4328,dae,டை,டை
